coverage_id,tiv
1,4840000
2,0
3,0
4,484000
5,18199100
6,0
7,150000
8,1615000
9,6111950
10,0
11,50000
12,655000
13,18274100
14,0
15,75000
16,1410000
17,24458200
18,0
19,150000
20,2118000
21,7771920
22,0
23,50000
24,890000
25,9797970
26,0
27,100000
28,1390000
29,0
30,0
31,50000
32,0
33,6000000
34,0
35,825000
36,1800000
37,9576540
38,0
39,1755160
40,2287800
41,8499640
42,0
43,1350000
44,1299020
45,26780000
46,0
47,0
48,5000000
49,0
50,0
51,100000
52,0
53,0
54,0
55,50000
56,0
57,43338900
58,0
59,75000000
60,87000000
61,24726700
62,0
63,0
64,0
65,30812300
66,0
67,0
68,0
69,486000
70,0
71,0
72,0
73,1000000
74,0
75,150000
76,0
77,1500000
78,0
79,150000
80,0
81,19587500
82,0
83,0
84,0
85,200000
86,0
87,25000
88,0
89,750000
90,0
91,0
92,0
93,926540
94,0
95,0
96,0
97,1500000
98,0
99,0
100,0
101,1290860
102,0
103,0
104,0
105,5273060
106,0
107,0
108,0
109,4416000
110,0
111,0
112,0
113,2304300
114,0
115,0
116,0
117,734800
118,0
119,0
120,0
121,15698000
122,0
123,0
124,0
125,10354000
126,0
127,0
128,0
129,162000
130,0
131,0
132,0
133,6916320
134,0
135,0
136,0
137,1698750
138,0
139,0
140,0
141,3367750
142,0
143,0
144,0
145,5221910
146,0
147,0
148,0
149,2866490
150,0
151,0
152,0
153,2442400
154,0
155,0
156,0
157,60750
158,0
159,0
160,0
161,60750
162,0
163,0
164,0
165,60750
166,0
167,0
168,0
169,9450
170,0
171,0
172,0
173,60750
174,0
175,0
176,0
177,60750
178,0
179,0
180,0
181,60750
182,0
183,0
184,0
185,150000
186,0
187,0
188,0
189,30375
190,0
191,0
192,0
193,73920
194,0
195,0
196,0
197,3500
198,0
199,0
200,0
201,94500
202,0
203,0
204,0
205,3500
206,0
207,0
208,0
209,2400
210,0
211,0
212,0
213,3500
214,0
215,0
216,0
217,94500
218,0
219,0
220,0
221,3500
222,0
223,0
224,0
225,3500
226,0
227,0
228,0
229,112000
230,0
231,0
232,0
233,270400
234,0
235,0
236,0
237,153000
238,0
239,0
240,0
241,280800
242,0
243,0
244,0
245,45300
246,0
247,0
248,0
249,45300
250,0
251,0
252,0
253,16000
254,0
255,0
256,0
257,0
258,0
259,375000
260,0
261,2500000
262,0
263,0
264,0
265,0
266,0
267,2700000
268,0
269,17600000
270,0
271,0
272,0
273,200000
274,0
275,0
276,0
277,10673900
278,0
279,1860000
280,2696210
281,10931600
282,0
283,1860000
284,1463380
285,8520420
286,0
287,1350000
288,1054850
289,11098200
290,0
291,1860000
292,1702340
293,11801100
294,0
295,1665000
296,1449480
297,0
298,0
299,300000
300,0
301,0
302,0
303,120000
304,0
305,10161700
306,0
307,1890000
308,2974430
309,0
310,0
311,83250
312,0
313,1173100
314,0
315,1161900
316,0
317,21513000
318,0
319,0
320,2100000
321,20777000
322,0
323,0
324,2100000
325,22227000
326,0
327,0
328,2200000
329,66500000
330,0
331,5775000
332,6650000
333,22800000
334,0
335,2322000
336,2280000
337,5700000
338,0
339,1500000
340,0
341,2038530
342,0
343,0
344,0
345,580000
346,0
347,0
348,58000
349,13669100
350,0
351,25000
352,2487190
353,17581500
354,0
355,25000
356,2177580
357,127833
358,0
359,206108
360,0
361,0
362,0
363,1100000
364,0
365,0
366,0
367,100000
368,0
369,100997000
370,0
371,0
372,15000000
373,4602000
374,0
375,468000
376,1748750
377,12750000
378,0
379,2250000
380,3500000
381,7000000
382,0
383,1750000
384,1400000
385,7847000
386,0
387,798000
388,2695540
389,11250000
390,0
391,3000000
392,1900000
393,2900000
394,0
395,0
396,100000
397,0
398,0
399,50000
400,0
401,6524000
402,0
403,1260000
404,2244160
405,4320000
406,0
407,480000
408,1380870
409,1213700
410,0
411,0
412,0
413,0
414,0
415,200000
416,0
417,38221200
418,0
419,0
420,3876140
421,33982200
422,0
423,0
424,3312320
425,24226200
426,0
427,0
428,1668850
429,3200000
430,0
431,0
432,240000
433,21497000
434,0
435,0
436,3297500
437,24236000
438,0
439,0
440,3806170
441,21580000
442,0
443,0
444,3363720
445,36354000
446,0
447,0
448,5772290
449,20385000
450,0
451,0
452,3349090
453,10060000
454,0
455,0
456,1734420
457,22233000
458,0
459,0
460,3336690
461,13180000
462,0
463,0
464,2117300
465,4827960
466,0
467,643100
468,986904
469,13567000
470,0
471,546300
472,3508990
473,37800000
474,0
475,100000
476,5400000
477,19300000
478,0
479,100000
480,3100000
481,0
482,0
483,55000
484,0
485,19788600
486,0
487,150000
488,3455000
489,1274000
490,0
491,10000
492,0
493,13802100
494,0
495,1540830
496,2371120
497,10266400
498,0
499,0
500,40189
501,21807400
502,0
503,2140570
504,3825950
505,11787500
506,0
507,1466460
508,1125280
509,7903110
510,0
511,943543
512,675167
513,0
514,0
515,100000
516,0
517,770000
518,0
519,0
520,0
521,50000
522,0
523,58400
524,50000
525,483600
526,0
527,233929
528,0
529,3339760
530,0
531,532468
532,1742000
533,50000
534,0
535,35000
536,0
537,1040000
538,0
539,1150000
540,80000
541,1550000
542,0
543,0
544,1241850
545,1066890
546,0
547,474018
548,500000
549,100000
550,0
551,20000
552,0
553,0
554,0
555,27345000
556,19839700
557,195600
558,0
559,0
560,0
561,250000
562,0
563,30000
564,0
565,17500000
566,0
567,100000
568,3200000
569,17500000
570,0
571,100000
572,3200000
573,20800000
574,0
575,100000
576,4700000
577,15763800
578,0
579,100000
580,1938000
581,29670000
582,0
583,100000
584,6400000
585,16200000
586,0
587,100000
588,2800000
589,21200000
590,0
591,100000
592,3500000
593,1867210
594,0
595,0
596,1157630
597,441000
598,0
599,115763
600,0
601,52920
602,0
603,0
604,0
605,264600
606,0
607,86822
608,110250
609,750000
610,0
611,0
612,60000
613,12000000
614,0
615,1266000
616,1244840
617,600200
618,0
619,159297
620,100000
621,1250000
622,0
623,0
624,0
625,18486000
626,0
627,75000
628,2635000
629,0
630,0
631,25000
632,0
633,8193800
634,0
635,10000
636,2340000
637,0
638,0
639,300000
640,0
641,0
642,0
643,1000000
644,0
645,0
646,0
647,10450
648,0
649,100214000
650,0
651,0
652,0
653,210000
654,0
655,0
656,0
657,1450000
658,0
659,0
660,0
661,3620650
662,0
663,0
664,0
665,0
666,0
667,100000
668,0
669,5663080
670,0
671,100000
672,304980
673,10961600
674,0
675,0
676,0
677,45641800
678,0
679,250000
680,5750000
681,16800000
682,0
683,0
684,4695390
685,100000
686,0
687,0
688,0
689,100000
690,0
691,0
692,0
693,100000
694,0
695,0
696,0
697,100000
698,0
699,0
700,0
701,100000
702,0
703,0
704,0
705,100000
706,0
707,0
708,0
709,8290000
710,0
711,980000
712,1050000
713,7408800
714,0
715,924000
716,1082000
717,8820000
718,0
719,1319000
720,1510000
721,17687400
722,0
723,500000
724,2000000
725,0
726,0
727,0
728,1000000
729,7414590
730,0
731,1680000
732,2170000
733,9724050
734,0
735,3150000
736,2545000
737,1980000
738,0
739,0
740,1900000
741,4660000
742,0
743,0
744,3260000
745,1060000
746,0
747,0
748,2030000
749,2165000
750,0
751,0
752,2030000
753,3200000
754,0
755,0
756,3260000
757,0
758,0
759,200000
760,0
761,1000000
762,0
763,0
764,0
765,3646520
766,0
767,945000
768,1525000
769,3646520
770,0
771,840000
772,1265000
773,7000000
774,0
775,1550000
776,1000000
777,4862030
778,0
779,1417500
780,1293000
781,5773660
782,0
783,945000
784,1985000
785,4600000
786,0
787,0
788,499912
789,27381200
790,0
791,0
792,1653410
793,9000000
794,0
795,1500000
796,1116000
797,10500000
798,0
799,2500000
800,1000000
801,29080000
802,0
803,50000
804,1570580
805,34335000
806,0
807,150000
808,2017580
809,26100000
810,0
811,15000
812,944580
813,62544400
814,0
815,150000
816,2761650
817,2000000
818,0
819,0
820,0
821,3000000
822,0
823,0
824,0
825,47970200
826,0
827,159000
828,6401320
829,18537800
830,0
831,58000
832,2656210
833,28964200
834,0
835,0
836,6231320
837,45225000
838,0
839,105000
840,6125900
841,14600000
842,0
843,142857
844,2903410
845,31458000
846,0
847,65000
848,4486470
849,5250000
850,0
851,750000
852,1500000
853,9414000
854,0
855,0
856,0
857,14412100
858,0
859,1740750
860,1688680
861,4862030
862,0
863,1050000
864,1747300
865,7578600
866,0
867,0
868,0
869,8290800
870,0
871,980000
872,918000
873,9417600
874,0
875,1199000
876,977000
877,6500000
878,0
879,750000
880,1250000
881,6789000
882,0
883,858000
884,758000
885,6948690
886,0
887,839292
888,814185
889,7120270
890,0
891,860015
892,834288
893,6210000
894,0
895,675000
896,663000
897,20000000
898,0
899,2100000
900,5600000
901,7900790
902,0
903,2100000
904,2075000
905,1806830
906,0
907,0
908,180683
909,17350000
910,0
911,0
912,1388260
913,16887000
914,0
915,0
916,3711020
917,16777100
918,0
919,0
920,0
921,298000000
922,0
923,0
924,28389900
925,11100000
926,0
927,1600000
928,852205
929,14000000
930,0
931,800000
932,1500000
933,0
934,0
935,253785
936,2000000
937,4331600
938,0
939,500000
940,500000
941,800000
942,0
943,400000
944,0
945,1200000
946,0
947,1125000
948,0
949,800000
950,0
951,600000
952,0
953,400000
954,0
955,500000
956,0
957,775000
958,0
959,650000
960,0
961,2200000
962,0
963,1800000
964,0
965,5000000
966,0
967,1600000
968,0
969,500000
970,0
971,1500000
972,0
973,400000
974,0
975,1000000
976,0
977,2000000
978,0
979,1750000
980,0
981,2500000
982,0
983,2000000
984,0
985,150000
986,0
987,0
988,0
989,750000
990,0
991,1500000
992,1173000
993,3500000
994,0
995,2250000
996,1173000
997,350000
998,0
999,200000
1000,900000
1001,1750000
1002,0
1003,750000
1004,1249540
1005,0
1006,0
1007,297180
1008,2800000
1009,0
1010,0
1011,136599
1012,375000
1013,0
1014,0
1015,350000
1016,3200000
1017,0
1018,0
1019,300000
1020,0
1021,0
1022,0
1023,2000000
1024,0
1025,10500000
1026,0
1027,1850000
1028,1976000
1029,7829290
1030,0
1031,1285200
1032,1606500
1033,4000000
1034,0
1035,700000
1036,1350000
1037,8643210
1038,0
1039,1875000
1040,1820100
1041,62772300
1042,0
1043,0
1044,7500000
1045,35228900
1046,0
1047,0
1048,2956740
1049,13300000
1050,0
1051,700000
1052,2500000
1053,7150000
1054,0
1055,600000
1056,2100000
1057,6000000
1058,0
1059,1500000
1060,500000
1061,4322500
1062,0
1063,665000
1064,650000
1065,2958000
1066,0
1067,595000
1068,500000
1069,5996000
1070,0
1071,1600000
1072,1150000
1073,9200000
1074,0
1075,1200000
1076,2481300
1077,3009000
1078,0
1079,525000
1080,750000
1081,12000000
1082,0
1083,500000
1084,1200000
1085,92400000
1086,0
1087,50000
1088,48000000
1089,27300000
1090,0
1091,0
1092,3148520
1093,18957300
1094,0
1095,150000
1096,2025000
1097,11133300
1098,0
1099,75000
1100,1280000
1101,5000000
1102,0
1103,0
1104,0
1105,14000000
1106,0
1107,2550000
1108,2400000
1109,4475000
1110,0
1111,0
1112,0
1113,4800000
1114,0
1115,750000
1116,1500000
1117,5500000
1118,0
1119,800000
1120,1200000
1121,7619560
1122,0
1123,75000
1124,980000
1125,28905000
1126,0
1127,200000
1128,3220000
1129,12231100
1130,0
1131,75000
1132,1500000
1133,6000000
1134,0
1135,800000
1136,1500000
1137,4047880
1138,0
1139,25000
1140,530000
1141,10292100
1142,0
1143,50000
1144,1370000
1145,7524400
1146,0
1147,40000
1148,855000
1149,11794900
1150,0
1151,75000
1152,1510000
1153,18709600
1154,0
1155,75000
1156,2332000
1157,15349700
1158,0
1159,100000
1160,1690000
1161,7523360
1162,0
1163,75000
1164,920000
1165,20401900
1166,0
1167,100000
1168,2190000
1169,13727700
1170,0
1171,50000
1172,1550000
1173,23643600
1174,0
1175,200000
1176,2750000
1177,170000000
1178,0
1179,12000000
1180,19898500
1181,4200000
1182,0
1183,575000
1184,1200000
1185,21516000
1186,0
1187,0
1188,2772000
1189,6000000
1190,0
1191,850000
1192,2000000
1193,12304200
1194,0
1195,75000
1196,1540000
1197,14081100
1198,0
1199,100000
1200,1660000
1201,6000000
1202,0
1203,820000
1204,2000000
1205,7500000
1206,0
1207,1000000
1208,2000000
1209,11211200
1210,0
1211,75000
1212,1249000
1213,9014720
1214,0
1215,50000
1216,1315000
1217,16455400
1218,0
1219,75000
1220,2098000
1221,18640500
1222,0
1223,50000
1224,2140000
1225,5200000
1226,0
1227,850000
1228,1500000
1229,3700000
1230,0
1231,550000
1232,750000
1233,30600000
1234,0
1235,0
1236,4000000
1237,16977700
1238,0
1239,50000
1240,2010000
1241,5000000
1242,0
1243,825000
1244,1400000
1245,4000000
1246,0
1247,700000
1248,1350000
1249,5000000
1250,0
1251,1075000
1252,1500000
1253,410000
1254,0
1255,0
1256,41000
1257,3782000
1258,0
1259,0
1260,0
1261,5200000
1262,0
1263,825000
1264,2000000
1265,8500000
1266,0
1267,1000000
1268,2500000
1269,7500000
1270,0
1271,950000
1272,2500000
1273,6000000
1274,0
1275,850000
1276,1500000
1277,7000000
1278,0
1279,1000000
1280,2000000
1281,2300000
1282,0
1283,0
1284,0
1285,0
1286,0
1287,140000
1288,0
1289,21979300
1290,0
1291,0
1292,5279040
1293,18400000
1294,0
1295,142857
1296,3158450
1297,21700000
1298,0
1299,142857
1300,3735530
1301,20000000
1302,0
1303,142857
1304,3540330
1305,18400000
1306,0
1307,142857
1308,3684240
1309,12900000
1310,0
1311,142857
1312,2389070
1313,25300000
1314,0
1315,142857
1316,4732620
1317,15522800
1318,0
1319,0
1320,2500000
1321,13540000
1322,0
1323,1500000
1324,1700000
1325,11050000
1326,0
1327,1600000
1328,1775000
1329,12295900
1330,0
1331,1890000
1332,2228620
1333,11426200
1334,0
1335,1905000
1336,1603220
1337,18810800
1338,0
1339,0
1340,2550000
1341,10646000
1342,0
1343,0
1344,1450000
1345,1900000
1346,0
1347,0
1348,247380
1349,5196800
1350,0
1351,0
1352,1146030
1353,3550000
1354,0
1355,0
1356,480480
1357,2350000
1358,0
1359,0
1360,347000
1361,2300000
1362,0
1363,0
1364,342000
1365,350000
1366,0
1367,0
1368,35000
1369,10430700
1370,0
1371,151000
1372,2830000
1373,15000000
1374,0
1375,0
1376,6115190
1377,9100000
1378,0
1379,0
1380,2315850
1381,140000000
1382,0
1383,25000000
1384,32000000
1385,14500000
1386,0
1387,250000
1388,8021150
1389,14000000
1390,0
1391,850000
1392,2900000
1393,9200000
1394,0
1395,800000
1396,2400000
1397,9247780
1398,0
1399,1059000
1400,2722000
1401,35000000
1402,0
1403,500000
1404,3500000
1405,12599300
1406,0
1407,25000
1408,1905890
1409,22820200
1410,0
1411,25000
1412,4387290
1413,19065000
1414,0
1415,25000
1416,2287700
1417,65190000
1418,0
1419,25000
1420,8497890
1421,13293500
1422,0
1423,25000
1424,1557320
1425,9181560
1426,0
1427,25000
1428,1180590
1429,12471200
1430,0
1431,25000
1432,1841870
1433,7113030
1434,0
1435,25000
1436,957792
1437,14268800
1438,0
1439,25000
1440,2180500
1441,13104500
1442,0
1443,25000
1444,1188430
1445,9661120
1446,0
1447,25000
1448,1224760
1449,9785000
1450,0
1451,25000
1452,1471030
1453,112376000
1454,0
1455,20747
1456,4801090
1457,5758500
1458,0
1459,1063
1460,246024
1461,55783700
1462,0
1463,25000
1464,3651530
1465,20348800
1466,0
1467,25000
1468,990708
1469,4153000
1470,0
1471,25000
1472,485145
1473,10340000
1474,0
1475,0
1476,2954190
1477,9680000
1478,0
1479,0
1480,2830650
1481,9900000
1482,0
1483,0
1484,2780800
1485,10230000
1486,0
1487,0
1488,3280070
1489,0
1490,0
1491,2650000
1492,1000000
1493,0
1494,0
1495,3500000
1496,7800000
1497,10642800
1498,0
1499,25000
1500,1374940
1501,0
1502,0
1503,25000
1504,4583560
1505,33422800
1506,0
1507,25000
1508,3216190
1509,9463860
1510,0
1511,25000
1512,1209380
1513,5609300
1514,0
1515,25000
1516,628337
1517,5343840
1518,0
1519,25000
1520,311795
1521,26781000
1522,0
1523,25000
1524,3049540
1525,17275500
1526,0
1527,3190
1528,738071
1529,18754100
1530,0
1531,0
1532,360000
1533,172000000
1534,0
1535,6300000
1536,32000000
1537,20880000
1538,0
1539,2610000
1540,8450000
1541,10230000
1542,0
1543,0
1544,2199880
1545,13310000
1546,0
1547,0
1548,2692600
1549,9680000
1550,0
1551,0
1552,2599240
1553,268583
1554,0
1555,0
1556,200000
1557,750000
1558,0
1559,0
1560,0
1561,650000
1562,0
1563,0
1564,0
1565,0
1566,0
1567,100000
1568,0
1569,4915400
1570,0
1571,0
1572,238248
1573,5000000
1574,0
1575,0
1576,0
1577,100000
1578,0
1579,0
1580,0
1581,100000
1582,0
1583,0
1584,0
1585,14100000
1586,0
1587,0
1588,0
1589,2000000
1590,0
1591,0
1592,0
1593,4210000
1594,0
1595,0
1596,0
1597,12880000
1598,0
1599,0
1600,0
1601,29034600
1602,0
1603,0
1604,0
1605,3620650
1606,0
1607,0
1608,0
1609,11897600
1610,0
1611,0
1612,0
1613,920631
1614,0
1615,0
1616,4801
1617,610005
1618,0
1619,0
1620,3181
1621,4242360
1622,0
1623,0
1624,22123
1625,17900000
1626,0
1627,500000
1628,3623760
1629,50000000
1630,0
1631,6800000
1632,11942000
1633,8555000
1634,0
1635,25000
1636,2316670
1637,9875000
1638,0
1639,25000
1640,2336100
1641,9655000
1642,0
1643,25000
1644,2177200
1645,9900000
1646,0
1647,0
1648,2688790
1649,11440000
1650,0
1651,0
1652,2554050
1653,8580000
1654,0
1655,0
1656,1771540
1657,7260000
1658,0
1659,0
1660,2116600
1661,9900000
1662,0
1663,0
1664,3026250
1665,9240000
1666,0
1667,0
1668,2489810
1669,14116600
1670,0
1671,100000
1672,2878380
1673,13057600
1674,0
1675,100000
1676,2827330
1677,13023200
1678,0
1679,100000
1680,2490790
1681,5000000
1682,0
1683,0
1684,500000
1685,375000
1686,0
1687,0
1688,0
1689,17107200
1690,0
1691,0
1692,5221990
1693,25900000
1694,0
1695,50000
1696,5057000
1697,16500000
1698,0
1699,2000000
1700,5450000
1701,26716300
1702,0
1703,25000
1704,6467550
1705,124878000
1706,0
1707,25000
1708,17738200
1709,12021000
1710,0
1711,25000
1712,3034020
1713,11300300
1714,0
1715,25000
1716,2639380
1717,8100000
1718,0
1719,25000
1720,2123690
1721,8637050
1722,0
1723,25000
1724,2058590
1725,17877800
1726,0
1727,25000
1728,2860530
1729,11283700
1730,0
1731,25000
1732,4068400
1733,11300300
1734,0
1735,25000
1736,3076770
1737,10344500
1738,0
1739,25000
1740,2917700
1741,30647200
1742,0
1743,0
1744,5300000
1745,14100000
1746,0
1747,1000000
1748,2450000
