EVENT_ID,PERIOD_NO,OCC_YEAR,OCC_MONTH,OCC_DAY
1,1900,1900,9,9
2,1901,1901,7,11
3,1901,1901,8,15
4,1903,1903,9,11
5,1903,1903,9,16
6,1904,1904,9,14
7,1904,1904,10,17
8,1906,1906,6,17
9,1906,1906,9,17
10,1906,1906,9,27
11,1906,1906,10,18
12,1908,1908,7,31
13,1909,1909,6,29
14,1909,1909,7,21
15,1909,1909,9,20
16,1909,1909,10,11
17,1910,1910,9,14
18,1910,1910,10,18
19,1911,1911,8,11
20,1911,1911,8,28
21,1912,1912,9,14
22,1912,1912,10,16
23,1913,1913,6,28
24,1913,1913,9,3
25,1913,1913,10,8
26,1915,1915,8,1
27,1915,1915,8,17
28,1915,1915,9,4
29,1915,1915,9,29
30,1916,1916,7,5
31,1916,1916,7,21
32,1916,1916,7,14
33,1916,1916,8,18
34,1916,1916,10,18
35,1916,1916,11,15
36,1917,1917,9,29
37,1918,1918,8,6
38,1919,1919,9,14
39,1920,1920,9,21
40,1920,1920,9,23
41,1921,1921,6,22
42,1921,1921,10,25
43,1923,1923,10,16
44,1924,1924,9,15
45,1924,1924,10,21
46,1925,1925,12,1
47,1926,1926,7,28
48,1926,1926,8,26
49,1926,1926,9,18
50,1926,1926,10,21
51,1928,1928,8,8
52,1928,1928,9,17
53,1929,1929,6,28
54,1929,1929,9,28
55,1932,1932,8,14
56,1932,1932,9,1
57,1933,1933,7,30
58,1933,1933,8,23
59,1933,1933,9,5
60,1933,1933,9,4
61,1933,1933,9,16
62,1934,1934,6,16
63,1934,1934,7,25
64,1935,1935,9,3
65,1935,1935,11,4
66,1936,1936,6,27
67,1936,1936,7,31
68,1938,1938,8,15
69,1938,1938,9,21
70,1939,1939,8,11
71,1940,1940,8,7
72,1940,1940,8,11
73,1941,1941,9,23
74,1941,1941,10,6
75,1942,1942,8,21
76,1942,1942,8,30
77,1943,1943,7,27
78,1944,1944,8,1
79,1944,1944,9,15
80,1944,1944,10,19
81,1945,1945,6,24
82,1945,1945,8,27
83,1945,1945,9,15
84,1946,1946,10,8
85,1947,1947,8,24
86,1947,1947,9,17
87,1947,1947,10,15
88,1948,1948,9,4
89,1948,1948,9,21
90,1948,1948,10,5
91,1949,1949,8,26
92,1949,1949,10,4
93,1950,1950,8,31
94,1950,1950,9,5
95,1950,1950,10,18
96,1952,1952,8,31
97,1953,1953,8,14
98,1953,1953,9,26
99,1954,1954,8,31
100,1954,1954,9,11
101,1954,1954,10,15
102,1955,1955,8,12
103,1955,1955,8,17
104,1955,1955,9,19
105,1956,1956,9,24
106,1957,1957,6,27
107,1958,1958,9,27
108,1959,1959,7,9
109,1959,1959,7,25
110,1959,1959,9,29
111,1960,1960,9,10
112,1960,1960,9,15
113,1961,1961,9,11
114,1963,1963,9,17
115,1964,1964,8,27
116,1964,1964,9,10
117,1964,1964,10,4
118,1964,1964,10,14
119,1965,1965,9,8
120,1966,1966,6,9
121,1966,1966,10,4
122,1967,1967,9,20
123,1968,1968,10,19
124,1969,1969,8,18
125,1969,1969,9,10
126,1970,1970,8,3
127,1971,1971,9,16
128,1971,1971,9,11
129,1971,1971,10,1
130,1972,1972,6,19
131,1974,1974,9,8
132,1975,1975,9,23
133,1976,1976,8,10
134,1977,1977,9,5
135,1979,1979,7,11
136,1979,1979,9,3
137,1979,1979,9,13
138,1980,1980,8,10
139,1983,1983,8,18
140,1984,1984,9,13
141,1985,1985,7,25
142,1985,1985,8,15
143,1985,1985,9,2
144,1985,1985,9,27
145,1985,1985,10,29
146,1985,1985,11,21
147,1986,1986,6,26
148,1986,1986,8,17
149,1987,1987,10,12
150,1988,1988,9,10
151,1989,1989,8,1
152,1989,1989,9,22
153,1989,1989,10,16
154,1991,1991,8,19
155,1992,1992,8,24
156,1993,1993,8,31
157,1995,1995,8,2
158,1995,1995,10,4
159,1996,1996,7,12
160,1996,1996,9,6
161,1997,1997,7,19
162,1998,1998,8,27
163,1998,1998,9,3
164,1998,1998,9,28
165,1999,1999,8,23
166,1999,1999,9,16
167,1999,1999,10,15
168,2002,2002,10,3
169,2003,2003,7,15
170,2003,2003,9,18
171,2004,2004,8,13
172,2004,2004,9,5
173,2004,2004,8,29
174,2004,2004,9,16
175,2004,2004,9,26
176,2005,2005,7,6
177,2005,2005,7,10
178,2005,2005,8,25
179,2005,2005,9,15
180,2005,2005,9,24
181,2005,2005,10,24
182,2008,2008,7,23
183,2008,2008,9,1
184,2008,2008,9,13
